Fabric	Classe	Perfil	d	tw	h	tf	bf	ec	Mate	Grau
FAM	VS	900x177	900	8	855	22.4	350	8	A572	50
FAM	VS	900x191	900	8	850	25	350	8	A572	50
FAM	VS	950x127	950	8	925	12.5	350	5	A572	50
FAM	VS	950x146	950	8	918	16	350	6	A572	50
FAM	VS	950x162	950	8	912	19	350	6	A572	50
FAM	VS	950x180	950	8	905	22.4	350	8	A572	50
FAM	VS	950x194	950	8	900	25	350	8	A572	50
FAM	VS	1000x140	1000	8	975	12.5	400	5	A572	50
FAM	VS	1000x161	1000	8	968	16	400	6	A572	50
FAM	VS	1000x180	1000	8	962	19	400	6	A572	50
FAM	VS	1000x201	1000	8	955	22.4	400	8	A572	50
FAM	VS	1000x217	1000	8	950	25	400	8	A572	50
FAM	VS	1100x159	1100	9.5	1075	12.5	400	5	A572	50
FAM	VS	1100x180	1100	9.5	1068	16	400	6	A572	50
FAM	VS	1100x199	1100	9.5	1062	19	400	6	A572	50
FAM	VS	1100x219	1100	9.5	1055	22.4	400	8	A572	50
FAM	VS	1100x235	1100	9.5	1050	25	400	8	A572	50
FAM	VS	1200x200	1200	9.5	1168	16	450	6	A572	50
FAM	VS	1200x221	1200	9.5	1162	19	450	6	A572	50
FAM	VS	1200x244	1200	9.5	1155	22.4	450	8	A572	50
FAM	VS	1200x262	1200	9.5	1150	25	450	8	A572	50
FAM	VS	1200x307	1200	9.5	1137	31.5	450	8	A572	50
FAM	VS	1300x237	1300	12.5	1268	16	450	6	A572	50
FAM	VS	1300x258	1300	12.5	1262	19	450	6	A572	50
FAM	VS	1300x281	1300	12.5	1255	22.4	450	8	A572	50
FAM	VS	1300x299	1300	12.5	1250	25	450	8	A572	50
FAM	VS	1300x344	1300	12.5	1237	31.5	450	8	A572	50
FAM	VS	1400x260	1400	12.5	1368	16	500	6	A572	50
FAM	VS	1400x283	1400	12.5	1362	19	500	6	A572	50
FAM	VS	1400x309	1400	12.5	1355	22.4	500	8	A572	50
FAM	VS	1400x329	1400	12.5	1350	25	500	8	A572	50
FAM	VS	1400x378	1400	12.5	1337	31.5	500	8	A572	50
FAM	VS	1400x424	1400	12.5	1325	37.5	500	8	A572	50
FAM	VS	1400x478	1400	12.5	1311	44.5	500	8	A572	50
FAM	VS	1500x270	1500	12.5	1468	16	500	6	A572	50
FAM	VS	1500x293	1500	12.5	1462	19	500	6	A572	50
FAM	VS	1500x319	1500	12.5	1455	22.4	500	8	A572	50
FAM	VS	1500x339	1500	12.5	1450	25	500	8	A572	50
FAM	VS	1500x388	1500	12.5	1437	31.5	500	8	A572	50
FAM	VS	1500x434	1500	12.5	1425	37.5	500	8	A572	50
FAM	VS	1500x488	1500	12.5	1411	44.5	500	8	A572	50
FAM	VS	1600x328	1600	12.5	1555	22.4	500	8	A572	50
FAM	VS	1600x348	1600	12.5	1550	25	500	8	A572	50
FAM	VS	1600x398	1600	12.5	1537	31.5	500	8	A572	50
FAM	VS	1600x444	1600	12.5	1525	37.5	500	8	A572	50
FAM	VS	1600x498	1600	12.5	1511	44.5	500	8	A572	50
FAM	VS	1700x338	1700	12.5	1655	22.4	500	8	A572	50
FAM	VS	1700x358	1700	12.5	1650	25	500	8	A572	50
FAM	VS	1700x408	1700	12.5	1637	31.5	500	8	A572	50
FAM	VS	1700x454	1700	12.5	1625	37.5	500	8	A572	50
FAM	VS	1700x507	1700	12.5	1611	44.5	500	8	A572	50
FAM	VS	1800x348	1800	12.5	1755	22.4	500	8	A572	50
FAM	VS	1800x368	1800	12.5	1750	25	500	8	A572	50
FAM	VS	1800x418	1800	12.5	1737	31.5	500	8	A572	50
FAM	VS	1800x464	1800	12.5	1725	37.5	500	8	A572	50
FAM	VS	1800x517	1800	12.5	1711	44.5	500	8	A572	50
FAM	VS	1800x465	1800	16	1737	31.5	500	8	A572	50
FAM	VS	1800x511	1800	16	1725	37.5	500	8	A572	50
FAM	VS	1800x564	1800	16	1711	44.5	500	8	A572	50
FAM	VS	1900x429	1900	16	1850	25	500	8	A572	50
FAM	VS	1900x478	1900	16	1837	31.5	500	8	A572	50
FAM	VS	1900x524	1900	16	1825	37.5	500	8	A572	50
FAM	VS	1900x577	1900	16	1811	44.5	500	8	A572	50
FAM	VS	2000x461	2000	16	1950	25	550	8	A572	50
FAM	VS	2000x515	2000	16	1937	31.5	550	8	A572	50
FAM	VS	2000x566	2000	16	1925	37.5	550	8	A572	50
FAM	VS	2000x624	2000	16	1911	44.5	550	8	A572	50

