Fabricante	Classe	Perfil	d	tw	h	tf	bf	R/ec	Mate	Grau
FAB-B		CS	450x236	450	19	400	25	450	8	A572	50
FAB-B		CS	450x280	450	19	387	31.5	450	8	A572	50
FAB-B		CS	450x291	450	22.4	387	31.5	450	8	A572	50
FAB-B		CS	450x321	450	19	375	37.5	450	8	A572	50
FAB-B		CS	450x331	450	22.4	375	37.5	450	8	A572	50
FAB-B		CS	500x172	500	12.5	468	16	500	6	A572	50
FAB-B		CS	500x195	500	12.5	462	19	500	6	A572	50
FAB-B		CS	500x207	500	16	462	19	500	6	A572	50
FAB-B		CS	500x221	500	12.5	455	22.4	500	8	A572	50
FAB-B		CS	500x233	500	16	455	22.4	500	8	A572	50
FAB-B		CS	500x253	500	16	450	25	500	8	A572	50
FAB-B		CS	500x263	500	19	450	25	500	8	A572	50
FAB-B		CS	500x312	500	19	437	31.5	500	8	A572	50
FAB-B		CS	500x324	500	22.4	437	31.5	500	8	A572	50
FAB-B		CS	500x333	500	25	437	31.5	500	8	A572	50
FAB-B		CS	500x369	500	22.4	425	37.5	500	8	A572	50
FAB-B		CS	500x378	500	25	425	37.5	500	8	A572	50
FAB-B		CS	550x228	550	16	512	19	550	6	A572	50
FAB-B		CS	550x257	550	16	505	22.4	550	8	A572	50
FAB-B		CS	550x269	550	19	505	22.4	550	8	A572	50
FAB-B		CS	550x279	550	16	500	25	550	8	A572	50
FAB-B		CS	550x290	550	19	500	25	550	8	A572	50
FAB-B		CS	550x345	550	19	487	31.5	550	8	A572	50
FAB-B		CS	550x358	550	22.4	487	31.5	550	8	A572	50
FAB-B		CS	550x368	550	25	487	31.5	550	8	A572	50
FAB-B		CS	550x395	550	19	475	37.5	550	8	A572	50
FAB-B		CS	550x407	550	22.4	475	37.5	550	8	A572	50
FAB-B		CS	550x417	550	25	475	37.5	550	8	A572	50
FAB-B		CS	550x441	550	31.5	475	37.5	550	8	A572	50
FAB-B		CS	550x498	550	31.5	461	44.5	550	8	A572	50
FAB-B		CS	600x250	600	16	562	19	600	6	A572	50
FAB-B		CS	600x281	600	16	555	22.4	600	8	A572	50
FAB-B		CS	600x294	600	19	555	22.4	600	8	A572	50
FAB-B		CS	600x305	600	16	550	25	600	8	A572	50
FAB-B		CS	600x318	600	19	550	25	600	8	A572	50
FAB-B		CS	600x332	600	22.4	550	25	600	8	A572	50
FAB-B		CS	600x377	600	19	537	31.5	600	8	A572	50
FAB-B		CS	600x391	600	22.4	537	31.5	600	8	A572	50
FAB-B		CS	600x402	600	25	537	31.5	600	8	A572	50
FAB-B		CS	600x432	600	19	525	37.5	600	8	A572	50
FAB-B		CS	600x446	600	22.4	525	37.5	600	8	A572	50
FAB-B		CS	600x456	600	25	525	37.5	600	8	A572	50
FAB-B		CS	600x483	600	31.5	525	37.5	600	8	A572	50
FAB-B		CS	600x546	600	31.5	511	44.5	600	8	A572	50
FAB-B		CS	650x305	650	16	605	22.4	650	8	A572	50
FAB-B		CS	650x319	650	19	605	22.4	650	8	A572	50
FAB-B		CS	650x330	650	16	600	25	650	8	A572	50
FAB-B		CS	650x345	650	19	600	25	650	8	A572	50
FAB-B		CS	650x361	650	22.4	600	25	650	8	A572	50
FAB-B		CS	650x395	650	16	587	31.5	650	8	A572	50
FAB-B		CS	650x409	650	19	587	31.5	650	8	A572	50
FAB-B		CS	650x425	650	22.4	587	31.5	650	8	A572	50
FAB-B		CS	650x437	650	25	587	31.5	650	8	A572	50
FAB-B		CS	650x468	650	19	575	37.5	650	8	A572	50
FAB-B		CS	650x484	650	22.4	575	37.5	650	8	A572	50
FAB-B		CS	650x496	650	25	575	37.5	650	8	A572	50
FAB-B		CS	650x525	650	31.5	575	37.5	650	8	A572	50
FAB-B		CS	650x593	650	31.5	561	44.5	650	8	A572	50
FAB-B		CS	700x389	700	22.4	650	25	700	8	A572	50
FAB-B		CS	700x426	700	16	637	31.5	700	8	A572	50
FAB-B		CS	700x441	700	19	637	31.5	700	8	A572	50
FAB-B		CS	700x458	700	22.4	637	31.5	700	8	A572	50
FAB-B		CS	700x471	700	25	637	31.5	700	8	A572	50
FAB-B		CS	700x505	700	19	625	37.5	700	8	A572	50
FAB-B		CS	700x522	700	22.4	625	37.5	700	8	A572	50
FAB-B		CS	700x535	700	25	625	37.5	700	8	A572	50
FAB-B		CS	700x567	700	31.5	625	37.5	700	8	A572	50
FAB-B		CS	700x640	700	31.5	611	44.5	700	8	A572	50
FAB-B		CS	750x417	750	22.4	700	25	750	8	A572	50
FAB-B		CS	750x457	750	16	687	31.5	750	8	A572	50
FAB-B		CS	750x473	750	19	687	31.5	750	8	A572	50
FAB-B		CS	750x492	750	22.4	687	31.5	750	8	A572	50
FAB-B		CS	750x506	750	25	687	31.5	750	8	A572	50
FAB-B		CS	750x542	750	19	675	37.5	750	8	A572	50
FAB-B		CS	750x560	750	22.4	675	37.5	750	8	A572	50
FAB-B		CS	750x574	750	25	675	37.5	750	8	A572	50
FAB-B		CS	750x608	750	31.5	675	37.5	750	8	A572	50
FAB-B		CS	750x687	750	31.5	661	44.5	750	8	A572	50

